drug_name,num_prescriber,total_cost
MELOXICAM,148110,51117534.569999635
COPAXONE,5395,1235904394.0400002
LEVETIRACETAM ER,2886,5590991.649999994
LYRICA,108926,1526227866.2200015
MEMANTINE HCL,28977,70515457.5900004
MODAFINIL,7658,70504101.62000018
OXYCONTIN,40852,824161725.1599911
ROPINIROLE HCL,74732,46992915.73000011
SUMATRIPTAN SUCCINATE,37970,43828300.75000007
TECFIDERA,3165,792175116.4900035
TIZANIDINE HCL,71210,96429052.64999928
VIMPAT,10306,251964387.76999974
BUTALBITAL-ACETAMINOPHEN-CAFFE,20344,23540048.839999896
KLOR-CON M20,63819,46888430.02999969
LIPITOR,2443,11111066.930000033
PROMETHAZINE HCL,39058,11696794.000000048
AMILORIDE HCL,2238,1561810.6600000006
BUMETANIDE,34641,42877252.54999972
BYSTOLIC,52438,277320981.4799996
CLONIDINE,16350,50509527.449999936
COLCHICINE,18405,72977144.21999995
DILTIAZEM 24HR CD,53044,46816057.610000156
DOXAZOSIN MESYLATE,74389,83517169.28000022
EPLERENONE,4405,11007705.590000054
INDAPAMIDE,12438,4911480.0399999935
KLOR-CON 8,4885,3033539.8699999955
LIDOCAINE-PRILOCAINE,13363,82139056.7399994
MINOXIDIL,7896,2826320.1199999917
PARICALCITOL,2806,19240959.90000005
POTASSIUM CITRATE ER,8613,38812441.39000004
PROSOL,2055,31652061.18000001
RENVELA,15102,1167134748.999999
SENSIPAR,14311,866538060.7199987
TORSEMIDE,32624,18684616.189999983
TRIMETHOPRIM,6965,3318554.3800000064
ULORIC,17859,134150624.9300011
VALSARTAN,98108,275789687.419999
VERAPAMIL ER,64197,37556991.30000001
AMITIZA,20963,167688955.6399997
BD ULTRA-FINE PEN NEEDLE,77113,126453669.60000019
CILOSTAZOL,26255,14619583.389999907
DENAVIR,117,1422768.2099999995
DICYCLOMINE HCL,44933,10923033.120000176
DIGOX,46133,53529837.26000026
DILTIAZEM ER,30189,24124750.889999963
ENALAPRIL MALEATE,91589,106816833.56000063
GLIMEPIRIDE,99693,69861759.2199998
GLIPIZIDE ER,57039,32205838.309999704
HYDROXYZINE PAMOATE,16622,6111692.749999983
INSULIN SYRINGE,71680,44514777.34999992
LANTUS SOLOSTAR,106319,2236432709.5400157
LISINOPRIL-HYDROCHLOROTHIAZIDE,137884,54887916.14000079
LOVASTATIN,111382,58134827.490000196
MECLIZINE HCL,64869,29080450.609999716
MEGESTROL ACETATE,15536,11492917.529999986
METHOCARBAMOL,23150,9842826.05999994
NYSTATIN,52291,37404824.31999956
OMEGA-3 ACID ETHYL ESTERS,40562,253261468.18999892
QUINAPRIL HCL,39789,19882890.699999943
ZETIA,83232,1054271305.7699949
ALCOHOL PREP PADS,8876,8648740.740000004
CLICKFINE,1294,465813.11000000045
FARXIGA,3097,23545876.850000016
GLIPIZIDE XL,36449,19206596.999999903
GLIPIZIDE-METFORMIN,9334,19382475.45000009
HUMALOG KWIKPEN U-100,29229,489965262.059997
HUMULIN 70-30,15642,110186235.32999994
HUMULIN N,15034,86281601.13000011
HYDROCORTISONE,26908,13617231.46000004
INVOKANA,23009,316124069.1399997
JANUMET,29651,364948463.7500001
JANUMET XR,7967,71189151.05000013
JENTADUETO,2753,26645174.899999965
LEVEMIR,29313,383338082.82999974
LEVEMIR FLEXTOUCH,58817,1042094293.3599985
METHIMAZOLE,14075,4966081.130000003
NOVOFINE 32,6222,6808606.019999982
NOVOLIN 70-30,18699,100036672.77999967
NOVOLIN N,11016,44278727.169999994
NOVOLIN R,10557,38888461.17999998
NOVOLOG FLEXPEN,46217,848831267.7800095
NOVOLOG MIX 70-30,9024,99829582.40000004
NOVOLOG MIX 70-30 FLEXPEN,15241,269557784.19999963
ONGLYZA,18144,171721381.32999977
OXYBUTYNIN CHLORIDE ER,71430,129873309.52000053
PEN NEEDLE,2766,825855.3200000008
TRADJENTA,30504,394694262.2100026
TRULICITY,1157,15314554.640000006
VICTOZA 3-PAK,17531,424999034.8500002
WELCHOL,17997,204714925.65999973
NABUMETONE,22710,16103350.439999972
BENICAR,46259,324298191.1399973
CHLORTHALIDONE,38984,43085430.72000008
DIGOXIN,62176,84912712.35999998
FENTANYL,63486,295687366.1099986
IBANDRONATE SODIUM,23392,43647075.99999996
IPRATROPIUM BROMIDE,23584,17949364.270000007
ISOSORBIDE DINITRATE,20098,29113928.429999962
ONDANSETRON ODT,29687,13972578.009999957
CEFUROXIME,25076,31615602.060000017
ASACOL HD,4439,61872195.879999995
ATROVENT HFA,8650,46758634.11999995
AXIRON,376,3561558.5299999993
CLOBETASOL PROPIONATE,35975,293118947.72000194
CREON,11181,244195010.55000004
DICLOFENAC SODIUM,52953,105161408.2499991
DILT-XR,12581,9096843.739999926
DILTIAZEM 24HR ER,45594,65830385.780000724
EFFIENT,12190,133362797.44000031
ESOMEPRAZOLE MAGNESIUM,26830,141974270.8200004
FELODIPINE ER,19571,19368089.27999997
FLOVENT HFA,25096,137210706.9699997
FOSINOPRIL SODIUM,13184,3345370.7699999837
GEMFIBROZIL,53137,22705851.52999995
LABETALOL HCL,36922,41084937.280000046
LIDOCAINE,28959,298019605.529999
METRONIDAZOLE,44145,54303684.29000026
MINOCYCLINE HCL,12361,7759695.970000023
MIRAPEX,147,782928.33
MORPHINE SULFATE,21956,15673076.829999913
MORPHINE SULFATE ER,57622,287800667.77000165
NITROSTAT,52078,32362300.750000022
ORPHENADRINE CITRATE,2180,1379020.9500000002
PROVENTIL HFA,6759,9983569.329999976
TOLTERODINE TARTRATE,8154,16640616.009999977
TOLTERODINE TARTRATE ER,27590,120905345.31
TOPROL XL,24313,30911518.40000025
VERAPAMIL HCL,12230,6135869.999999967
VERAPAMIL SR,2985,2195494.2899999977
XARELTO,80746,1296872211.1300132
ZONISAMIDE,8506,7837175.27999998
BETAMETHASONE DIPROPIONATE,13369,23471546.580000028
DAPSONE,2576,2117610.6200000006
DOXYCYCLINE HYCLATE,76791,125563238.5600009
ECONAZOLE NITRATE,11106,89755491.6799999
FLUOROURACIL,7554,47013743.279999964
METHOTREXATE,25149,158232195.64999884
CEVIMELINE HCL,2181,10598305.499999972
CLARITHROMYCIN,6760,7019559.800000019
DETROL LA,532,1874496.5300000012
HYDROCORTISONE VALERATE,3038,11049184.60999999
LANSOPRAZOLE,55431,74131909.00000037
VOLTAREN,56911,181825667.54999813
CICLOPIROX,12377,21887014.220000096
CLOTRIMAZOLE-BETAMETHASONE,36054,42233678.870000154
SILVER SULFADIAZINE,7805,5018169.169999988
SSD,3169,1488189.7099999972
METHYLPHENIDATE ER,5352,21430838.690000013
TRAMADOL HCL-ACETAMINOPHEN,17939,11615781.799999975
EXELON,23805,398663095.2499989
BALSALAZIDE DISODIUM,3381,12747087.4
CARAFATE,8910,42526481.40000007
CHOLESTYRAMINE,10815,20971503.659999974
DEXILANT,42162,370556093.0099998
DIPHENOXYLATE-ATROPINE,23375,14431499.450000009
HARVONI,5221,5992222543.539986
LINZESS,20209,186264752.3899997
NADOLOL,15448,31212163.209999926
NIZATIDINE,1456,607939.9599999997
ALFUZOSIN HCL ER,11445,8299489.099999968
AMLODIPINE BESYLATE-BENAZEPRIL,59622,77898729.56000035
AMMONIUM LACTATE,14182,14927193.360000007
APRISO,4567,45085074.56000006
ATENOLOL-CHLORTHALIDONE,20320,10149590.739999954
AZELASTINE HCL,23908,46381329.48000008
BENICAR HCT,27599,176506601.1200004
BISOPROLOL-HYDROCHLOROTHIAZIDE,21978,6389807.110000019
BUDESONIDE,5889,42919326.94000003
BYETTA,4844,51597965.99999996
CARISOPRODOL,27021,14186898.540000018
CEFDINIR,21009,19700211.61000002
CIMETIDINE,2740,1244498.880000003
CLORAZEPATE DIPOTASSIUM,9754,4757414.3299999945
COLCRYS,16305,81624997.62999953
COUMADIN,12267,25743607.269999966
DILTIAZEM HCL,28147,11690345.829999939
DIOVAN,17409,80906895.73999988
DULERA,18390,152743192.69999886
ETODOLAC,11851,18975514.010000017
FLECAINIDE ACETATE,15451,27488717.939999864
FLURAZEPAM HCL,1337,433028.86000000004
GALANTAMINE HBR,8990,23144076.810000006
HYDROMORPHONE HCL,26194,23142903.630000003
HYDROXYCHLOROQUINE SULFATE,22333,271948585.669999
KETOPROFEN,575,5127191.549999998
KLOR-CON M10,26621,13776654.86999997
LEXAPRO,1876,6931778.509999997
LOPERAMIDE,12768,5921558.750000021
METHADONE HCL,27756,31879338.189999938
MUPIROCIN,48651,21267885.470000193
NEUPRO,2959,47662942.94000016
NITROFURANTOIN,17622,16914396.489999983
NITROFURANTOIN MONO-MACRO,46048,38048236.460000314
NORETHINDRONE ACETATE,960,1042167.7900000011
NYAMYC,5185,4701944.519999975
ONDANSETRON HCL,53069,32993368.640000112
OPANA ER,6150,122981042.1299996
PENICILLIN V POTASSIUM,16019,3508144.1200000024
PHENYTOIN,8692,7120101.379999984
PRAZOSIN HCL,13433,9757893.650000004
PREVACID,3297,21323460.70000002
PROCHLORPERAZINE MALEATE,14487,2860430.6399999964
PROCTOSOL-HC,5021,5667876.950000015
RALOXIFENE HCL,39215,222866197.66000026
RISPERDAL CONSTA,7731,238287017.67999932
RIZATRIPTAN,7612,5414830.859999994
SOTALOL,27674,16894062.77000003
SPIRONOLACTONE-HCTZ,7318,8663471.279999984
SYMLINPEN 120,276,5760760.319999999
TELMISARTAN,11315,16733965.789999953
TELMISARTAN-HYDROCHLOROTHIAZID,5585,11766134.359999975
THEOPHYLLINE ANHYDROUS,15802,10714674.390000027
THIORIDAZINE HCL,4019,3381046.829999998
TOVIAZ,14568,94376953.28999996
UNIFINE PENTIPS,7372,4121836.940000006
DESVENLAFAXINE ER,252,679777.9000000004
FENOFIBRIC ACID,17059,47298529.23000054
ELIQUIS,47149,781986260.7600073
HUMALOG MIX 75-25,6113,69830060.44000015
NASONEX,23253,125002845.88000059
PIOGLITAZONE-METFORMIN,4621,17169889.30999999
TERBINAFINE HCL,10998,2282657.489999996
VICTOZA 2-PAK,9646,100296452.75999992
HUMIRA PEN,8176,1012772528.6299983
FONDAPARINUX SODIUM,732,21546957.749999974
ATRIPLA,5241,528889606.4400008
COMPLERA,2163,148240321.32000017
EPZICOM,3597,191124997.15999943
ISENTRESS,5258,367244211.26000094
KALETRA,2290,54665509.449999854
NORVIR,6293,154523378.36
PREZCOBIX,688,30609888.899999984
PREZISTA,5137,383896045.9599995
REYATAZ,4129,221994353.3399998
STRIBILD,2593,246401802.5500004
TRUVADA,6599,637231155.4699993
VIREAD,4815,130688378.25000013
BETOPTIC S,782,4390815.630000005
BIMATOPROST,37,183266.08999999997
GATIFLOXACIN,1466,11610014.759999992
NEVANAC,2177,24206013.589999937
TOBRAMYCIN,3297,1209595.4800000042
ESZOPICLONE,15319,16745958.379999889
SUPREP,6391,36223681.27999992
ZOLOFT,666,2524876.060000003
NIACIN ER,24009,107101357.75999966
RANEXA,23872,336031756.04999703
ADVAIR HFA,9123,85435932.04999976
ALVESCO,534,3316823.930000001
ANORO ELLIPTA,4869,43627749.69999989
ARALAST NP,172,23751654.52000002
BREO ELLIPTA,10166,97453408.21999975
COMBIVENT RESPIMAT,41583,342248145.7000053
DALIRESP,10315,72973851.28999996
DYMISTA,2916,12221821.580000015
ESBRIET,958,190959715.43999994
FLOVENT DISKUS,2513,9097861.979999986
FORADIL,2671,14409008.559999952
GLASSIA,75,12039601.199999996
HETLIOZ,76,9261253.95
LEVOCETIRIZINE DIHYDROCHLORIDE,22593,17015858.969999906
NUVIGIL,3530,41007189.58999989
OFEV,793,139101906.20000002
ORENITRAM ER,226,55324595.71000004
PROLASTIN C,684,103855972.15
QVAR,22949,110495384.14999987
SILDENAFIL,3032,24546141.48999998
SPIRIVA RESPIMAT,6515,63178794.14000027
TUDORZA PRESSAIR,8054,64136253.059999846
XOPENEX HFA,6685,8853001.249999978
XYREM,707,131940955.68000002
ZAFIRLUKAST,3490,5640305.169999984
COMFORT EZ,813,769562.3299999996
PROLENSA,3621,49526505.68999997
TOBRADEX,1742,8136191.680000004
AVAPRO,569,1262550.3499999994
BIDIL,1463,7017667.500000012
BISOPROLOL FUMARATE,15622,13060470.339999974
CYCLOSPORINE MODIFIED,1262,3959644.210000001
DIGITEK,10380,8554368.600000001
GENGRAF,285,1106269.5999999992
LOVAZA,2817,15352770.08000001
MIDODRINE HCL,15726,26927176.840000015
MULTAQ,11832,193593467.98999968
MYCOPHENOLATE MOFETIL,7834,21476711.109999992
PROGRAF,762,12561961.12000001
RAPAMUNE,238,5268113.420000005
TRANDOLAPRIL,3876,1264885.8099999996
TRICOR,930,2329830.849999998
AMLODIPINE-VALSARTAN,10453,28866336.250000007
AZOR,9418,61605623.87999981
CANDESARTAN CILEXETIL,4655,8595064.03000001
COREG CR,6252,33436540.25000011
DILTIAZEM 12HR ER,2594,4212638.45000001
JANTOVEN,23219,8371193.5699999835
NITROGLYCERIN PATCH,17004,12887324.189999966
PROPAFENONE HCL,8486,8931211.279999979
TEKTURNA,4972,16070159.160000019
VYTORIN,22996,164734955.86999932
ALBUTEROL SULFATE,15923,21115011.309999906
BROVANA,657,5530963.650000002
BUTORPHANOL TARTRATE,1490,2500331.8800000027
CALCITONIN-SALMON,9172,12545349.44999998
CEFTRIAXONE,6661,10026336.860000035
CYMBALTA,3139,14567392.859999957
DILANTIN,10090,14541489.709999971
DRONABINOL,3127,24924640.199999984
ENPRESSE,150,37763.54000000002
FLUDROCORTISONE ACETATE,14187,6084490.409999947
GLYBURIDE,24437,11476775.510000065
HUMULIN R,11009,35916083.52000006
LIDOCAINE HCL,7323,2775562.0499999835
MARGESIC,3,3369.33
METHENAMINE HIPPURATE,6854,19814573.63999997
NUEDEXTA,6869,115660807.9399998
PINDOLOL,1903,2449766.6400000015
ROZEREM,4191,21159682.0700001
SULINDAC,6396,2867377.070000001
ACARBOSE,5024,7180676.070000003
AMILORIDE-HYDROCHLOROTHIAZIDE,2327,723328.7600000013
AVODART,25136,178836174.24000037
BUDESONIDE EC,5291,89124963.90999976
CYPROHEPTADINE HCL,3449,2541350.53
DEXTROAMPHETAMINE-AMPHET ER,11169,39247714.09000004
ENTACAPONE,5416,40002931.65
IRBESARTAN-HYDROCHLOROTHIAZIDE,9177,7065211.910000029
PENTOXIFYLLINE,11470,6314473.849999985
PIROXICAM,3586,6074410.029999998
PROPYLTHIOURACIL,2093,1982600.7200000044
RENAGEL,1237,26893629.039999977
SULFACETAMIDE SODIUM,806,661658.4700000004
TERBUTALINE SULFATE,412,1695125.6499999985
TRUEPLUS INSULIN SYRINGE,1294,448009.4199999998
URSODIOL,10140,82124044.0399997
ACTONEL,2587,11946556.649999991
OXYMORPHONE HCL ER,3608,39214215.01999999
ANASTROZOLE,18287,20809822.82999999
CALCIUM ACETATE,12423,65605729.55000022
CLINDAMYCIN PHOSPHATE,8057,14934116.01
DIPYRIDAMOLE,1598,607316.1799999998
ENOXAPARIN SODIUM,15055,132799537.37999977
ENULOSE,3572,2076174.9199999967
FLUOCINOLONE ACETONIDE,3107,9184081.470000016
HEPARIN SODIUM,2578,4607592.1399999885
HUMULIN 70/30 KWIKPEN,2773,26565402.13999994
ISOSORBIDE MONONITRATE,5806,1354826.7199999983
KIONEX,1839,2354966.630000003
LEVALBUTEROL HCL,1071,2951912.8299999987
LOXAPINE,3145,3364663.080000002
MONOJECT INSULIN SAFETY SYRNG,493,447084.97999999975
PROCRIT,3931,119539669.7599999
PROCTOZONE-HC,6195,9369552.890000027
RAPAFLO,9392,92935082.04999991
SANTYL,9682,84435466.73999973
SPS,2009,2585420.1299999957
THEOPHYLLINE,1412,1316004.6600000022
WATER,461,227395.27999999994
DANAZOL,241,878509.9999999999
AMPICILLIN-SULBACTAM,269,534958.1099999998
MERCAPTOPURINE,2524,5898694.409999983
PENTASA,3211,46897148.540000096
RIBASPHERE RIBAPAK,142,2887419.6500000004
XIFAXAN,6746,233412874.59999925
FINACEA,990,4654071.989999997
NAFTIN,462,4451692.239999998
JALYN,5697,30406117.31999997
RIMSO-50,21,231276.47999999998
ATOVAQUONE-PROGUANIL HCL,531,2236222.9500000007
NUCYNTA,2261,21676413.270000033
INDOMETHACIN,3013,963487.2099999983
NEOMYCIN-POLYMYXIN-HYDROCORT,4017,2414986.799999997
PAPAVERINE HCL,30,26592.859999999997
ASMANEX,7040,34368434.429999985
THEO-24,1027,1833487.8200000024
TRIAZOLAM,4479,3175213.789999992
AZATHIOPRINE,12095,14852594.879999973
TACROLIMUS,4094,33912025.409999855
COLESTIPOL HCL,7324,14632470.660000013
GAVILYTE-G,4596,2829115.5399999996
HYOSCYAMINE SULFATE,380,258656.02999999977
MISOPROSTOL,3293,3993653.540000003
MOVIPREP,3767,16337290.929999983
NEOMYCIN SULFATE,1104,483230.97999999975
PEG-3350 AND ELECTROLYTES,2811,1146472.7100000018
